Id,FoodName,servingSize,phosphorusMg,phosphorusCategory,foodSubCategory,foodCategory
1,Mixed,1 oz,132,Medium,Nuts,Protein
2,Peanuts,28 nuts,101,Medium,Nuts,Protein
3,Pistachios,1 oz,137,Medium,Nuts,Protein
4,Clams (raw),3 oz,144,Medium,Seafood,Protein
5,Crab,3 oz,175,Medium,Seafood,Protein
6,Lobster,3 oz,157,Medium,Seafood,Protein
7,Oysters,3 oz,172,Medium,Seafood,Protein
8,Scallops,3 oz,186,Medium,Seafood,Protein
9,Shrimp,3 oz,116,Medium,Seafood,Protein
10,"Tuna (light, in water)",3 oz,139,Medium,Seafood,Protein
11,Refried beans ,½ cup,400,High,"Beans, canned",Protein
12,Soybeans,½ cup,206,High,"Beans, canned",Protein
13,Beef (bottom round),3 oz,217,High,Meat,Protein
14,Liver (beef),3 oz,392,High,Meat,Protein
15,Pork (loin),3 oz,200,High,Meat,Protein
16,Veal,3 oz,200,High,Meat,Protein
17,Catfish,3 oz,208,High,Seafood,Protein
18,Cod,3 oz,200,High,Seafood,Protein
19,Haddock,3 oz,205,High,Seafood,Protein
20,Sardines w/ bone,3 oz,420,High,Seafood,Protein
21,Salmon (canned w/ bone),3 oz,280,High,Seafood,Protein
22,"Salmon (fresh, cooked)",3 oz,235,High,Seafood,Protein
23,"Tuna (light, in oil)",3 oz,265,High,Seafood,Protein
24,"Tuna (fresh, cooked)",3 oz,208,High,Seafood,Protein
25,Blackeyed peas,½ cup,84,Low,"Beans, canned",Protein
26,Roast beef,½ cup,150,Low,Meat,Protein
27,Brazilnut,1 nut,36,Low,Nuts,Protein
28,Macadamia,10-12 nuts,56,Low,Nuts,Protein
29,Pecans,20 halves,79,Low,Nuts,Protein
30,Walnuts,14 halves,98,Low,Nuts,Protein
31,Baked,½ cup,132,Medium,"Beans, canned",Protein
32,Black,½ cup,120,Medium,"Beans, canned",Protein
33,Garbanzo/chickpeas,½ cup,108,Medium,"Beans, canned",Protein
34,Kidney,½ cup,115,Medium,"Beans, canned",Protein
35,Lentils,½ cup,178,Medium,"Beans, canned",Protein
36,Lima,½ cup,100,Medium,"Beans, canned",Protein
37,Navy,½ cup,176,Medium,"Beans, canned",Protein
38,Northern,½ cup,178,Medium,"Beans, canned",Protein
39,Pinto,½ cup,111,Medium,"Beans, canned",Protein
40,"Beef (80% lean, ground)",3 oz,165,Medium,Meat,Protein
41,Chicken (white),3 oz,180,Medium,Meat,Protein
42,Chicken (dark),3 oz,157,Medium,Meat,Protein
43,Duck (domestic),3 oz,173,Medium,Meat,Protein
44,Lamb (leg),3 oz,162,Medium,Meat,Protein
45,Turkey (white),3 oz,184,Medium,Meat,Protein
46,Turkey (dark),3 oz,171,Medium,Meat,Protein
47,Almonds,24 nuts,134,Medium,Nuts,Protein
48,Cashews,18 nuts,151,Medium,Nuts,Protein
49,Buttermilk,½ cup,109,Medium,Milk,Milk and Diary
50,Chocolate low fat,½ cup,128,Medium,Milk,Milk and Diary
51,Eggnog,½ cup,139,Medium,Milk,Milk and Diary
52,"Milk, 1%",½ cup,116,Medium,Milk,Milk and Diary
53,"Milk, skim (0% milk fat)",½ cup,124,Medium,Milk,Milk and Diary
54,"Milk, whole",½ cup,113.5,Medium,Milk,Milk and Diary
55,Yogurt (skim/plain/Greek style),½ cup,178,Medium,Yogurt,Milk and Diary
56,Yogurt (whole/4 gm protein),½ cup,108,Medium,Yogurt,Milk and Diary
57,Yogurt (with fruit/5gm protein),½ cup,135,Medium,Yogurt,Milk and Diary
58,American,1 oz,211,High,Cheese,Milk and Diary
59,"Ricotta, part skim",½ cup,225,High,Cheese,Milk and Diary
60,Evaporated nonfat,½ cup,250,High,Milk,Milk and Diary
61,Butter/Margarine,1 tbsp,3,Low,Butter,Milk and Diary
62,Cream cheese,1 tbsp,15,Low,Cheese,Milk and Diary
63,Feta,1 oz,94,Low,Cheese,Milk and Diary
64,Parmesan,2 tbsp,80,Low,Cheese,Milk and Diary
65,Half & half cream,1 tbsp,14,Low,Cream,Milk and Diary
66,Sour cream,1 tbsp,10,Low,Cream,Milk and Diary
67,Egg,1 medium,90,Low,Eggs,Milk and Diary
68,Egg substitute,¼ cup,76,Low,Eggs,Milk and Diary
69,Ice cream (vanilla),½ cup,69,Low,Ice cream,Milk and Diary
70,Rice milk (unenriched),½ cup,17,Low,Milk,Milk and Diary
71,Soy milk (unenriched),½ cup,60,Low,Milk,Milk and Diary
72,Sherbet,½ cup,38,Low,Sherbet,Milk and Diary
73,Blue,1 oz,110,Medium,Cheese,Milk and Diary
74,Cheddar,1 oz,145,Medium,Cheese,Milk and Diary
75,Cottage (1% milkfat),1 oz,151,Medium,Cheese,Milk and Diary
76,Cottage (2% milkfat),1 oz,170,Medium,Cheese,Milk and Diary
77,Mozzarella,1 oz,149,Medium,Cheese,Milk and Diary
78,Swiss,1 oz,172,Medium,Cheese,Milk and Diary
79,Ice Milk (soft serve),½ cup,106,Medium,Ice cream,Milk and Diary
80,Apple,1 cup,17,Low,Juices,Fruit and Fruit Juices
81,Cranberry,½ cup,3,Low,Juices,Fruit and Fruit Juices
82,Grape,½ cup,5,Low,Juices,Fruit and Fruit Juices
83,Grapefruit,½ cup,14,Low,Juices,Fruit and Fruit Juices
84,Orange,½ cup,20,Low,Juices,Fruit and Fruit Juices
85,Pineapple,½ cup,10,Low,Juices,Fruit and Fruit Juices
86,Prune juice,½ cup,32,Low,Juices,Fruit and Fruit Juices
87,Apple,1 medium,10,Low,Fruits,Fruit and Fruit Juices
88,Applesauce,½ cup,9,Low,Fruits,Fruit and Fruit Juices
89,Apricot,1 medium,7,Low,Fruits,Fruit and Fruit Juices
90,Banana,1 medium,24,Low,Fruits,Fruit and Fruit Juices
91,Blueberries,½ cup,8,Low,Fruits,Fruit and Fruit Juices
92,Cantaloupe,⅛ melon,12,Low,Fruits,Fruit and Fruit Juices
93,"Cherries, red, sweet",10 cherries,13,Low,Fruits,Fruit and Fruit Juices
94,"Cranberries, fresh",½ cup,7,Low,Fruits,Fruit and Fruit Juices
95,Cranberry sauce,1 slice,3,Low,Fruits,Fruit and Fruit Juices
96,"Figs, dried",2 figs,26,Low,Fruits,Fruit and Fruit Juices
97,Grapes,½ cup,11,Low,Fruits,Fruit and Fruit Juices
98,Grapefruit,½ fruit,11,Low,Fruits,Fruit and Fruit Juices
99,Honeydew,⅛ melon,16,Low,Fruits,Fruit and Fruit Juices
100,Kiwi,1 medium,30,Low,Fruits,Fruit and Fruit Juices
101,Mango,1 medium,23,Low,Fruits,Fruit and Fruit Juices
102,Nectarines,1 medium,22,Low,Fruits,Fruit and Fruit Juices
103,Orange,1 medium,18,Low,Fruits,Fruit and Fruit Juices
104,Peach,1 medium,12,Low,Fruits,Fruit and Fruit Juices
105,Pears,1 medium,18,Low,Fruits,Fruit and Fruit Juices
106,Pineapple,½ cup,6,Low,Fruits,Fruit and Fruit Juices
107,Plums,1 medium,7,Low,Fruits,Fruit and Fruit Juices
